MLPModelWithHook{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.5061607283001098, 'ood_validation': 0.4936440677966102, 'train': 0.5757699486700887}
MLPModelWithHook{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.5061607283001098, 'ood_validation': 0.4936440677966102, 'train': 0.5757699486700887}
MLPModelWithHook{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.5061607283001098, 'ood_validation': 0.4936440677966102, 'train': 0.5757699486700887}
MLPModelWithHook{'validation': 0.5783947736817545, 'id_test': 0.5838581758805692, 'ood_test': 0.5081227436823105, 'ood_validation': 0.4939971751412429, 'train': 0.5744575361642558}
MLPModelWithHook{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.5061607283001098, 'ood_validation': 0.4936440677966102, 'train': 0.5757991133924405}
MLPModelWithHook{'validation': 0.6283247783481102, 'id_test': 0.6459062281315605, 'ood_test': 0.6132475278606184, 'ood_validation': 0.6142302259887006, 'train': 0.6374533364442371}
MLPModelWithHook{'validation': 0.4218385440970602, 'id_test': 0.41614182411943085, 'ood_test': 0.4938392716998901, 'ood_validation': 0.5063559322033898, 'train': 0.4242300513299113}
MLPModelWithHook{'validation': 0.640457302846477, 'id_test': 0.6468392815488687, 'ood_test': 0.6028096060273113, 'ood_validation': 0.6004590395480226, 'train': 0.6370741950536631}
MLPModelWithHook{'validation': 0.6413905739617359, 'id_test': 0.6407744343363657, 'ood_test': 0.6022602417202951, 'ood_validation': 0.5962217514124294, 'train': 0.6351784881007932}
MLPModelWithHook{'validation': 0.4230051329911339, 'id_test': 0.4166083508280849, 'ood_test': 0.49556584523622665, 'ood_validation': 0.50829802259887, 'train': 0.4269715352309846}
MLPModelWithHook{'validation': 0.6278581427904807, 'id_test': 0.6309773734546302, 'ood_test': 0.5693768639146131, 'ood_validation': 0.5653248587570622, 'train': 0.6199545030331312}
MLPModelWithHook{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.5061607283001098, 'ood_validation': 0.4936440677966102, 'train': 0.5757699486700887}
MLPModelWithHook{'validation': 0.5795613625758282, 'id_test': 0.5868905994868207, 'ood_test': 0.5118701930623136, 'ood_validation': 0.500882768361582, 'train': 0.5774031731217919}
MLPModelWithHook{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.5061607283001098, 'ood_validation': 0.4936440677966102, 'train': 0.5757699486700887}
MLPModelWithHook{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.506298069376864, 'ood_validation': 0.4939971751412429, 'train': 0.5757991133924405}
MLPModelWithHook{'validation': 0.8161954544876442, 'id_test': 0.813158162486646, 'ood_test': 0.781946888170547, 'ood_validation': 0.7913828024304916, 'train': 0.8134981828818889}
